,ID,Name,Age,OVA,Nationality,Club,BP,POT,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,PAC,SHO,PAS,DRI,DEF,PHY
4020,202492,J. Lindner,29,63,Sweden,Varbergs BoIS,CB,63,51,35,61,62,39,52,54,54,55,62,60,64,47,59,34,59,49,71,76,39,56,64,52,57,40,57,65,62,59,62,42,57,54,63,69
2539,190239,J. Bowery,28,63,England,Mansfield Town,ST,63,54,61,63,59,51,63,32,31,45,60,75,81,69,58,55,64,69,76,80,59,45,19,59,41,55,60,37,26,42,78,60,50,62,33,71
9608,232907,H. Otani,35,63,Japan,Kashiwa Reysol,CDM,63,46,27,43,66,28,41,31,33,64,61,36,34,34,62,72,51,43,43,61,36,52,72,46,62,43,51,67,60,54,35,35,58,49,62,54
6525,217225,J. Lalpekhlua,27,63,India,India,ST,63,61,63,57,57,50,61,47,58,46,64,77,74,79,57,80,70,52,60,63,64,47,34,55,46,65,47,28,31,29,75,64,54,64,33,59
10271,235472,Diego Ferraresso,28,63,Bulgaria,Cracovia,LB,63,60,21,45,61,32,65,25,38,54,58,69,60,72,61,82,23,64,66,71,29,61,62,34,47,46,55,56,63,65,64,25,54,64,59,67
4482,205119,S. Rodríguez,27,63,Uruguay,Emelec,CM,63,42,40,45,67,42,60,56,52,66,64,59,49,79,60,76,45,56,66,66,36,43,56,68,67,48,51,42,62,45,54,42,61,64,51,61
17037,258869,T. Smola,31,63,Czech Republic,Gaz Metan Mediaş,ST,63,36,65,75,58,63,54,49,34,34,62,48,52,47,54,42,69,68,64,80,54,70,11,62,47,64,54,12,16,21,50,63,46,55,20,73
1578,179537,H. Singh,29,63,Norway,Sandefjord Fotball,CM,63,61,53,58,65,67,63,71,60,63,64,55,50,68,60,71,75,71,66,70,62,46,60,58,68,67,66,48,54,52,52,61,65,64,54,64
15632,254371,E. Ferreira,32,63,Paraguay,Sol de América,CDM,63,41,40,41,61,41,55,48,43,56,62,59,59,53,58,76,45,61,72,74,38,61,63,47,60,47,54,68,62,58,59,41,55,58,62,70
4688,206142,T. Dieng,28,63,France,Southend United,CB,63,45,43,61,60,36,55,47,39,60,56,62,66,58,59,62,61,65,73,80,51,67,61,55,59,50,61,62,62,60,64,49,55,56,62,75
173,34373,A. Thompson,36,63,Australia,Melbourne Victory,RW,63,63,68,54,56,57,66,62,53,41,62,74,71,85,73,76,62,52,42,42,55,50,33,72,53,63,,15,36,29,72,64,55,68,30,44
15471,253789,R. Villanueva,27,63,Venezuela,Caracas FC,CB,63,25,31,59,56,22,38,31,26,43,59,40,40,40,49,56,34,69,54,79,16,69,66,21,38,35,59,59,65,61,40,28,42,46,62,70
15206,252979,G. Del Castillo,29,63,Venezuela,Estudiantes de Mérida,CB,63,32,23,59,64,27,49,34,24,47,69,63,54,64,59,52,33,58,68,65,15,69,63,39,31,39,44,59,67,62,58,25,45,57,63,66
5544,211820,P. Ofosu-Ayeh B,27,63,Ghana,Wolverhampton Wanderers,RB,63,53,44,56,62,44,65,59,36,51,63,76,79,69,60,71,57,71,62,77,44,63,55,54,52,40,63,64,62,63,78,47,55,65,61,70
1876,183797,V. Muratori,31,63,France,AS Nancy Lorraine,LB,63,60,22,60,58,17,46,47,32,60,59,60,62,69,65,64,22,68,69,67,25,69,61,44,48,46,61,65,64,62,61,25,55,54,63,68
1565,178590,T. Cywka,31,63,Poland,Lech Poznań,RWB,63,65,57,49,64,59,65,57,59,64,62,68,69,63,61,67,61,76,62,61,60,51,65,57,55,62,58,58,67,64,69,59,62,64,62,60
8713,229625,S. Rapp,27,63,Switzerland,FC Lausanne-Sport,ST,63,56,62,65,47,58,60,59,41,40,63,78,64,62,62,47,65,83,73,81,45,55,19,64,62,56,62,35,28,31,70,59,51,61,32,74
14353,250796,A. Chicaiza,28,63,Ecuador,Universidad Católica del Ecuador,RM,63,66,63,44,71,53,70,55,62,73,73,67,74,74,44,71,66,60,67,60,61,46,30,42,54,73,57,36,48,54,71,62,66,70,41,59
2488,189842,O. Gobern,26,63,England,Yeovil Town,CM,63,45,46,65,64,35,62,53,44,63,64,64,69,56,58,64,55,61,65,65,59,71,61,58,64,35,67,55,63,62,67,50,59,62,60,66
15742,254711,E. Zaracho,30,63,Paraguay,Nacional Asunción,CM,63,62,52,55,70,33,58,44,55,68,67,57,62,61,51,53,55,57,61,68,63,44,52,60,66,51,55,40,52,49,60,54,65,60,48,61
59,4114,A. Radomski,34,63,Poland,Cracovia,CB,63,48,46,66,61,61,48,43,51,70,53,63,53,61,44,74,60,59,51,66,56,88,78,53,63,53,,47,64,65,58,52,59,52,62,66
15941,255302,G. Firpo,31,63,Uruguay,Liverpool Fútbol Club,CDM,63,37,33,43,59,29,48,33,31,66,64,57,51,59,62,47,41,52,58,70,28,67,54,38,62,42,44,55,69,64,54,34,54,55,59,66
2795,192473,L. Novak,31,63,England,Bradford City,ST,63,57,64,64,58,61,55,59,57,51,63,53,63,62,61,66,69,76,73,78,63,70,45,64,59,66,63,35,40,30,59,65,57,59,41,75
16246,256373,B. Karagaren,27,63,Bulgaria,Bulgaria,RM,63,61,66,53,59,61,60,56,51,53,65,78,73,70,50,63,63,50,63,47,57,55,22,63,58,60,60,35,37,34,75,63,58,62,35,53
2917,193187,K. Bennett,29,63,England,Bristol Rovers,LM,63,56,53,35,58,52,64,57,52,51,59,83,75,90,60,91,60,34,69,41,50,42,48,63,60,58,58,32,36,25,79,55,57,66,36,48
5149,209565,M. Al Fehaid,30,63,Saudi Arabia,Al Fateh,CDM,63,47,37,59,63,34,59,44,35,59,59,60,63,70,53,78,55,72,90,68,44,73,63,53,51,36,63,58,62,57,62,43,54,61,60,75
9741,233467,D. Vega,27,63,Costa Rica,Sandefjord Fotball,RM,63,54,54,34,60,57,65,57,42,50,64,81,80,77,56,75,67,34,65,54,59,45,37,61,59,58,61,32,39,23,80,58,56,66,34,54
1131,170027,R. McArdle,33,63,Northern Ireland,Exeter City,CB,63,37,22,65,52,13,27,19,20,40,47,41,44,54,57,53,50,73,67,76,18,68,61,25,46,28,58,62,63,62,43,27,43,39,62,72
11155,238598,P. Schikowski,28,63,Poland,SC Verl,LW,63,63,60,32,57,48,64,45,31,42,62,82,82,76,58,74,60,47,74,57,58,31,23,58,53,48,51,45,22,22,82,58,53,65,30,56
4488,205161,H. Bunn,26,63,England,Kilmarnock,LM,63,61,66,55,63,61,61,40,37,59,56,74,69,70,56,61,68,72,54,56,60,41,40,61,64,62,66,35,33,28,71,65,60,60,37,53
1287,173660,P. Caddis,32,63,Scotland,Swindon Town,RB,63,60,55,52,62,46,59,68,65,59,61,56,58,63,55,79,68,78,69,66,63,71,63,55,54,77,62,65,64,61,57,60,60,61,63,68
15492,253899,J. Torres,27,63,Venezuela,Aragua FC,RM,63,61,58,49,61,49,59,55,68,59,62,85,74,79,51,76,56,65,62,63,63,49,35,59,59,69,56,24,32,31,79,59,60,62,32,60
7109,221859,Lee Ju Yong,27,63,Korea Republic,Jeonbuk Hyundai Motors,LB,63,63,60,51,58,56,62,53,50,52,62,78,78,77,58,66,59,48,68,71,58,56,59,66,53,55,65,55,58,56,78,59,56,64,56,66
11154,238594,A. Dej,28,63,Poland,Viktoria Köln,CAM,63,67,59,52,65,53,60,68,70,64,63,64,66,80,64,80,65,62,73,56,67,57,60,57,67,52,59,63,50,47,65,61,66,64,56,61
13510,245979,A. Tsvetkov,29,63,Bulgaria,Bulgaria,CB,63,47,44,58,60,36,50,40,43,56,52,58,57,62,66,67,47,70,71,75,46,61,63,48,55,41,50,65,66,65,57,45,54,53,64,71
15589,254233,H. Matamoros,35,63,Ecuador,El Nacional,CAM,63,47,60,31,58,39,63,48,62,56,60,66,72,72,62,66,50,49,58,38,70,41,38,65,65,50,57,32,35,33,69,59,57,63,34,44
11645,240258,O. Sangante,29,63,Senegal,La Berrichonne de Châteauroux,CDM,63,48,38,60,67,34,62,42,39,65,65,68,49,51,62,57,68,64,81,81,52,70,63,54,59,47,56,60,67,58,58,48,59,62,63,78
505,140609,N. Kovačević,33,63,Serbia,Nîmes Olympique,CB,63,57,39,64,63,56,64,43,60,61,61,44,46,57,52,71,69,70,74,72,63,72,65,54,50,59,,64,65,61,45,52,58,62,64,72
1365,176530,J. Lacourt,28,63,France,Nîmes Olympique,CDM,63,48,37,63,72,44,60,49,54,65,64,52,61,65,70,64,47,59,74,60,40,63,61,48,58,32,,55,65,57,57,40,61,62,60,64
860,162993,J. Perch,34,63,England,Mansfield Town,CDM,63,58,44,61,62,43,56,47,37,60,61,54,52,57,61,64,53,65,68,68,46,74,62,54,56,51,60,61,62,59,53,47,58,58,61,69
3189,196615,U. Bangura,32,63,Sierra Leone,FC Zürich,CB,63,50,38,59,61,49,55,46,49,60,54,76,74,71,62,70,57,82,70,77,59,69,61,53,59,51,68,60,61,60,75,48,57,57,60,74
13158,244736,S. Beusnard,28,63,France,Pau FC,RM,63,52,67,49,60,61,68,53,32,53,63,78,77,59,55,87,64,58,58,45,60,26,17,53,58,63,49,15,11,18,77,64,55,66,18,45
2803,192528,Steven Vitória,33,63,Canada,Moreirense FC,CB,63,37,47,65,59,41,42,66,66,54,58,29,37,30,66,33,74,30,53,91,59,76,61,21,43,68,72,54,63,61,33,54,51,46,60,75
15211,252985,J. Manríquez,33,63,Venezuela,Estudiantes de Mérida,RB,63,60,28,57,58,26,57,55,30,49,61,81,87,62,50,60,25,67,78,67,22,72,55,48,34,64,46,55,55,54,84,29,51,59,55,71
2985,193557,F. Nouble,28,63,England,Plymouth Argyle,ST,63,53,61,58,54,65,65,54,51,45,60,79,84,65,54,57,69,61,74,88,57,56,43,60,60,64,55,44,37,24,82,62,54,63,41,77
1292,173695,M. Reynolds,33,63,Scotland,Dundee United,CB,63,51,27,60,59,23,54,35,34,54,60,51,53,55,61,72,28,68,60,71,22,60,60,22,47,32,63,63,64,62,52,26,52,57,62,66
1063,168879,M. Al Shalhoub,39,63,Saudi Arabia,Al Hilal,CAM,63,76,60,43,72,62,65,70,70,71,67,33,32,60,56,68,64,47,31,35,64,31,36,62,68,74,67,55,21,21,32,63,72,65,36,34
2428,189492,S. O'Keefe,29,63,England,Gillingham,CDM,63,52,55,49,64,57,61,49,44,62,64,65,52,74,60,78,60,54,74,65,61,70,63,59,62,41,60,60,63,61,58,57,59,64,61,68
9561,232718,Y. Takahashi,35,63,Japan,Sagan Tosu,CDM,63,47,54,54,65,30,53,32,35,60,67,45,41,81,56,77,64,81,84,59,63,69,66,57,59,39,61,64,64,64,43,56,56,61,63,68
6842,220422,M. Hamzi,28,63,Saudi Arabia,Al Hazem,LM,63,55,57,47,58,64,62,35,33,52,64,85,80,80,55,70,62,75,68,43,48,61,48,64,55,51,55,34,49,47,82,57,54,64,44,54
3455,199165,Yang Jun A,31,63,Korea Republic,Incheon United FC,CB,63,59,51,63,53,50,58,68,71,53,59,50,37,64,60,59,63,76,66,84,63,64,61,51,54,50,63,59,60,59,43,56,56,59,60,75
15239,253049,L. Rodríguez,29,63,Mexico,Estudiantes de Mérida,ST,63,33,64,58,55,44,65,36,28,45,60,63,57,75,59,81,75,76,43,71,75,34,17,65,40,56,47,10,19,10,60,67,44,65,19,57
1717,182045,Rong Hao,33,63,China PR,Tianjin TEDA FC,RB,63,59,52,58,56,44,59,62,63,56,58,69,69,70,65,62,58,59,74,65,48,60,59,60,59,45,58,58,57,56,69,52,58,60,58,66
2949,193357,L. Hodson,28,63,Northern Ireland,Hamilton Academical FC,RB,63,56,42,51,62,42,58,34,33,54,59,68,66,65,60,79,52,59,74,57,43,62,54,51,48,33,55,57,61,61,67,44,54,60,57,62
2273,188417,A. Fernández,34,63,Uruguay,Club Plaza Colonia,CM,63,48,54,58,65,42,61,30,35,64,64,64,64,70,63,56,54,69,64,70,62,49,55,64,64,49,45,45,53,36,64,55,58,63,50,64
854,162899,M. Sadler,35,63,England,Walsall,CB,63,52,35,62,57,32,53,50,47,56,54,54,53,68,60,69,51,76,66,75,42,65,61,46,51,42,59,62,63,62,53,40,54,56,62,71
10960,237830,G. Matei,30,63,Romania,FC Argeș,RB,63,61,36,51,62,44,55,42,37,47,56,73,75,70,49,71,39,68,70,68,41,53,64,58,46,38,51,62,60,56,74,39,54,57,60,66
1758,182681,C. Daniel,32,63,England,Burton Albion,LB,63,61,54,48,62,55,64,53,54,52,61,76,74,74,52,64,70,80,75,80,54,49,54,54,49,52,47,58,58,56,75,57,57,64,56,73
1416,177107,R. Müller,33,63,Germany,SpVgg Unterhaching,CB,63,47,42,56,50,43,51,38,38,47,52,60,61,57,62,61,63,66,68,78,40,63,63,35,49,68,69,66,66,61,61,47,48,53,64,72
5002,208577,F. Torsteinbø,29,63,Norway,Viking FK,CAM,63,62,62,64,64,58,64,66,57,63,64,70,64,75,59,68,65,70,71,69,59,64,53,67,65,49,68,49,54,52,67,61,63,65,53,69
4001,202375,D. Offenbacher,28,63,Austria,SV Ried,CAM,63,61,54,48,63,58,64,73,69,62,66,73,67,82,60,83,70,66,64,65,70,72,62,60,66,64,62,52,60,57,70,61,64,67,57,66
106,10899,C. Porter,36,63,England,Crewe Alexandra,ST,63,41,66,66,58,57,54,46,47,52,63,47,49,61,63,66,64,76,67,83,60,46,36,64,55,69,61,40,31,31,48,64,52,58,38,71
8233,227446,K. van Veen,29,63,Netherlands,Scunthorpe United,ST,63,54,65,60,47,65,61,64,70,54,64,50,52,62,58,52,76,74,62,76,66,47,19,66,57,62,59,29,13,18,51,67,53,61,24,67
3594,199891,C. Routis,29,63,France,Servette FC,CB,63,59,45,61,62,39,57,43,63,61,60,52,59,63,60,49,66,70,72,81,56,58,58,54,48,57,61,58,61,60,56,52,58,58,59,74
14393,250901,M. Uğurlu,31,63,Turkey,Gazişehir Gaziantep F.K.,LB,63,57,26,46,58,28,65,46,39,59,62,77,73,70,63,69,43,56,56,57,41,58,58,55,35,47,56,56,67,60,75,35,52,65,59,57
3274,197945,R. Bowman,28,63,England,Exeter City,ST,63,31,64,65,58,53,56,41,39,43,62,67,69,68,58,70,65,83,82,81,57,72,26,63,48,65,58,33,25,22,68,62,47,60,31,80
4941,208194,Kim Kyung Jung,29,63,Korea Republic,Gangwon FC,LW,63,62,55,39,61,42,61,47,35,37,62,81,81,72,61,71,48,45,67,45,33,23,50,62,63,53,54,45,46,47,81,49,56,63,46,46
14512,251240,M. Balda,28,63,Ecuador,Santos Laguna,ST,63,58,67,63,66,72,68,58,49,64,67,77,78,75,66,75,81,47,55,42,72,35,49,65,62,69,55,46,39,27,78,71,62,69,44,44
7486,223780,A. Prokić,31,63,Serbia,Stal Mielec,LM,63,57,62,51,59,60,63,52,33,57,61,71,80,74,59,73,66,65,69,57,54,62,38,60,59,42,55,38,23,22,76,60,57,64,33,61
10873,237542,G. Páez,30,63,Venezuela,AC Mineros de Guayana,ST,63,55,73,61,61,55,58,48,37,36,60,73,72,65,59,75,60,77,57,59,71,45,19,55,56,73,57,29,19,27,72,68,53,60,27,57
6349,216052,F. Coniglio,28,63,Argentina,Club Atlético Huracán,ST,63,38,67,71,59,45,60,38,34,49,64,46,50,64,60,51,63,70,54,79,52,51,28,64,55,50,59,37,28,24,48,61,50,61,35,67
4034,202551,P. Ulvestad,29,63,Norway,Kristiansund BK,CDM,63,49,46,57,59,55,53,55,43,55,62,33,42,43,62,50,69,53,70,80,57,69,61,52,54,46,58,62,62,63,38,54,54,55,61,74
2379,189217,P. Pawlett,29,63,Scotland,Dundee United,RM,63,64,56,42,64,53,65,57,63,62,64,81,84,87,60,75,63,81,74,69,58,57,55,61,62,51,55,56,58,55,83,58,63,67,55,68
15997,255451,J. Franco,28,63,Paraguay,Nacional Asunción,RB,63,62,33,44,64,24,48,28,33,26,61,67,63,58,63,70,24,55,63,52,26,55,60,45,38,50,43,63,61,58,65,31,49,55,59,56
10945,237779,T. Yamashita,32,63,Japan,Kashiwa Reysol,CB,63,54,21,67,55,27,42,29,24,21,56,49,63,57,57,61,55,79,73,72,21,42,65,22,28,31,54,60,66,64,57,29,41,49,64,67
3158,195396,L. Tankulić,29,63,Germany,SV Meppen,CAM,63,42,60,63,63,60,65,55,56,36,65,71,70,74,60,69,65,64,71,73,60,44,14,59,65,45,57,34,32,22,70,60,54,66,31,66
4869,207868,J. Mountney,27,63,Republic of Ireland,Dundalk,RM,63,62,53,52,62,44,59,57,58,61,61,70,75,69,55,69,68,50,72,76,58,58,54,60,59,53,57,27,54,52,73,57,61,61,46,70
3379,198604,J. Nilsen,29,63,Norway,FK Haugesund,CDM,63,59,54,56,62,58,61,56,63,61,62,67,62,77,62,71,68,68,72,70,57,66,63,53,57,45,63,58,61,59,64,57,60,63,60,70
370,122574,S. Whittaker,35,63,Scotland,Hibernian,CM,63,65,57,63,65,50,63,68,43,64,64,52,51,69,62,57,69,65,69,67,62,69,60,64,67,72,65,62,66,64,51,61,64,64,63,68
626,150677,R. Sartre,31,63,France,Nîmes Olympique,CB,63,34,35,67,57,40,40,62,68,57,55,45,53,42,60,50,57,62,60,72,50,69,61,27,52,35,,64,62,59,49,42,52,46,63,68
583,146969,Iñaki Astiz,36,63,Spain,Legia Warszawa,CB,63,33,20,66,54,39,28,22,27,52,54,46,42,52,63,58,34,71,33,64,21,71,67,48,52,34,53,61,60,61,44,26,46,41,62,58
6863,220540,D. Bejarano,26,63,Bolivia,Bolivia,RM,63,66,33,48,65,36,64,44,42,63,72,71,72,52,55,63,51,56,64,71,39,73,44,58,47,53,46,68,48,45,72,40,59,65,53,69
2339,188989,F. Riedel,30,63,Germany,VfB Lübeck,RWB,63,69,41,54,69,39,60,54,38,61,61,78,75,72,58,70,54,56,70,63,41,59,62,46,61,40,55,45,63,61,76,44,64,62,56,64
16428,257075,P. Nebel,17,62,Germany,1. FSV Mainz 05,CAM,83,55,62,39,58,50,69,49,46,50,70,69,72,79,47,85,63,55,53,49,50,37,21,52,60,60,57,23,32,27,71,59,56,70,27,48
17092,259022,K. Calhanoglu,17,62,Germany,FC Schalke 04,LM,83,62,45,50,60,48,61,68,39,55,59,76,74,72,60,64,62,63,68,62,53,56,56,58,60,45,46,49,58,54,75,51,59,62,54,62
14017,247497,A. Bella-Kotchap,18,62,Germany,VfL Bochum 1848,CB,82,31,20,58,46,24,33,22,22,38,46,71,74,50,46,55,38,75,58,79,20,59,65,29,44,33,45,60,65,62,73,25,39,40,63,70
16233,256307,L. Oyen,17,62,Belgium,KRC Genk,CAM,82,53,56,47,62,48,68,56,52,58,71,72,74,74,45,81,54,68,62,32,58,46,35,51,59,49,55,37,42,37,73,55,58,69,39,44
16526,257318,K. Ruiz-Atil,17,62,Morocco,Paris Saint-Germain,CAM,82,48,56,30,71,52,70,68,59,65,70,69,68,80,57,78,60,50,59,30,48,40,29,60,62,58,64,43,55,53,68,55,63,71,44,40
11072,238230,J. Campaz,19,62,Colombia,Deportes Tolima,LM,82,59,55,39,62,53,69,46,42,48,66,75,72,77,52,83,63,48,68,55,62,33,29,52,56,50,57,37,22,28,73,58,56,69,30,54
11053,238182,A. Amaya,18,62,Colombia,Atlético Huila,ST,82,48,61,65,57,42,65,38,36,46,63,82,79,77,54,86,56,50,50,46,43,28,16,67,49,48,57,52,21,27,80,55,50,66,34,44
15803,254905,I. Vassilev,19,62,United States,Burton Albion,LW,82,60,64,45,52,54,66,56,50,41,64,74,73,72,54,78,66,40,54,55,55,39,20,52,53,64,56,30,36,32,73,62,52,66,32,51
13800,246863,F. Nmecha,19,62,England,Manchester City,CAM,82,56,49,54,64,53,62,60,48,59,60,72,75,73,57,63,62,60,53,58,55,51,40,57,66,55,65,47,44,39,74,54,61,62,45,55
13799,246861,A. Riccardi,19,62,Italy,Roma,CAM,82,52,50,53,65,46,62,41,47,67,67,63,57,66,60,50,65,55,57,46,56,61,45,69,57,60,53,45,57,60,60,55,59,63,51,52
17080,258954,R. Ortíz,17,62,Paraguay,Estudiantes de La Plata,CB,82,38,38,58,57,35,40,32,25,55,52,62,65,55,54,67,48,69,65,68,21,66,59,43,33,51,53,61,67,66,64,37,45,47,63,67
10822,237393,F. Antonucci,18,62,Belgium,AS Monaco,CAM,81,51,59,41,65,51,69,60,51,60,69,64,65,59,54,78,61,52,59,50,50,46,27,48,59,56,58,43,35,40,65,57,59,68,37,52
15510,253974,S. Robertson,18,62,Scotland,Gillingham,LM,81,52,47,38,65,30,64,60,64,62,66,73,72,73,54,76,47,57,66,50,44,72,55,45,59,41,58,58,62,59,72,45,60,66,57,59
12491,242856,E. Alvarez,18,62,Mexico,LA Galaxy,CAM,81,60,60,32,63,56,64,61,58,54,64,68,66,79,54,79,61,53,52,35,62,37,20,57,64,48,59,30,31,20,67,60,61,66,28,41
15093,252595,F. Tolomello,17,62,Italy,Trapani,RB,81,55,50,61,63,50,61,66,65,60,63,76,76,74,55,70,64,64,60,56,60,65,61,47,55,60,58,60,61,60,76,55,60,63,61,59
17001,258775,L. Sučić,17,62,Croatia,FC Red Bull Salzburg,CAM,81,65,62,47,66,66,66,70,72,67,68,62,67,65,52,61,72,60,62,59,67,54,48,55,62,59,65,46,52,42,65,65,66,66,48,59
14245,248484,N. Collins,19,62,Republic of Ireland,Stoke City,CB,81,25,24,54,57,22,42,25,25,51,54,60,64,41,57,50,36,67,73,75,19,67,64,24,39,35,63,58,62,64,62,26,43,47,61,73
14274,248674,L. Munteanu,18,62,Romania,Fiorentina,ST,81,42,63,49,57,58,62,52,43,48,63,76,77,73,59,70,65,58,61,62,54,33,38,60,56,53,61,34,39,32,77,61,52,64,38,56
14261,248572,Pedro Brazão,17,62,Portugal,FC Lausanne-Sport,CAM,81,46,51,41,56,47,72,64,53,54,72,74,76,86,57,87,64,57,52,38,53,41,26,49,58,58,61,45,35,39,75,54,54,73,37,43
14830,251948,M. Azarkan,17,62,Netherlands,Feyenoord,LW,81,54,58,38,50,45,70,47,39,39,68,82,75,85,52,91,57,47,53,31,46,32,22,51,60,54,54,20,23,20,78,54,50,71,23,38
16761,258125,A. Baldi,18,62,Argentina,Club Atlético Tigre,CDM,81,49,51,50,67,27,56,45,50,66,67,60,56,58,52,54,66,59,47,58,56,55,66,35,42,49,43,51,65,68,58,53,56,59,60,55
13679,246455,Pablo Ramón,17,62,Spain,RCD Mallorca,CB,81,41,34,64,53,34,44,43,38,47,53,50,53,46,56,56,47,68,46,62,39,58,59,35,42,47,55,60,68,61,52,38,46,48,63,58
14613,251464,I. Van der Brempt,18,62,Belgium,Club Brugge KV,RB,80,58,24,49,55,26,56,30,31,56,50,67,77,64,58,55,40,62,66,61,31,58,59,47,36,36,51,57,59,61,73,30,50,55,58,62
16866,258454,Ibra Pérez,18,62,Spain,CD Tenerife,CM,80,46,43,60,71,38,63,57,55,66,67,65,71,67,61,73,65,60,66,63,47,61,50,46,57,61,52,48,62,61,68,49,61,65,55,63
16299,256564,T. Lemperle,18,62,Germany,1. FC Köln,RM,80,63,62,40,60,52,70,50,45,53,68,67,67,61,44,53,65,34,54,62,50,44,27,52,49,55,45,30,33,30,67,59,56,66,31,55
14225,248385,R. Piccoli,19,62,Italy,Spezia,ST,80,42,67,68,55,54,55,41,30,37,60,54,51,51,65,55,62,60,57,65,62,58,25,67,50,36,56,23,38,34,52,63,47,57,34,61
14191,248169,T. Vlček,18,62,Czech Republic,SK Slavia Praha,CB,80,29,24,51,55,23,61,35,27,50,67,68,69,69,60,60,38,72,61,70,25,66,56,30,51,34,52,53,64,64,69,28,46,64,58,67
15764,254798,A. Dionkou,17,62,Senegal,Manchester City,RB,80,58,31,51,49,34,66,47,35,40,53,73,79,75,61,68,50,65,67,68,28,65,60,48,40,44,44,57,61,59,76,36,47,63,58,67
15389,253473,S. Ricci,18,62,Italy,Empoli,CDM,80,56,28,52,70,50,60,54,58,64,68,67,67,66,64,69,64,62,72,59,40,60,62,50,60,49,68,62,61,61,67,41,63,64,61,63
13612,246258,L. Beltrán,19,62,Argentina,River Plate,ST,80,47,63,59,62,52,61,43,33,56,67,67,63,65,51,73,65,67,51,70,52,30,18,61,42,55,45,15,13,16,65,60,52,63,20,57
13627,246289,C. Huerta,19,62,Mexico,Mazatlán FC,ST,80,49,70,62,68,55,55,51,53,66,64,66,65,70,56,75,60,57,59,61,60,41,24,59,54,57,57,38,35,41,65,64,60,60,37,56
16329,256732,Famana Quizera,18,62,Portugal,Borussia Mönchengladbach,CAM,80,55,55,45,64,52,72,62,54,57,71,64,64,72,53,84,60,60,54,35,48,47,35,55,60,58,52,35,40,38,64,55,60,71,38,43
14118,247871,M. Kapo,18,62,France,Paris Saint-Germain,CDM,80,46,42,58,69,41,60,48,42,58,64,65,67,65,55,61,59,58,63,57,41,61,57,51,48,54,58,61,64,60,66,46,56,62,61,59
12329,242364,A. Traoré,19,62,France,Stade Malherbe Caen,CAM,80,48,57,51,64,38,65,52,44,53,59,73,75,71,54,57,65,58,68,75,61,68,51,60,59,47,58,49,55,52,74,58,57,63,52,71
12157,241889,A. McDonald,18,62,Scotland,Heart of Midlothian,LM,80,61,51,29,61,50,64,67,57,59,66,79,72,71,52,64,53,43,50,48,40,21,21,54,59,55,54,17,22,19,75,50,60,65,21,43
16522,257308,S. Tijani,18,62,Nigeria,TSV Hartberg,CDM,80,57,28,47,65,33,61,43,48,67,66,73,68,78,43,79,41,71,63,53,38,63,60,38,61,32,56,58,64,60,70,34,61,64,59,58
16528,257320,A. Moueffek,19,62,France,AS Saint-Étienne,CDM,80,49,37,58,66,39,67,47,47,64,69,70,68,75,59,65,59,55,59,59,38,63,60,59,63,50,59,67,64,63,69,43,60,68,63,60
14364,250822,B. Fadiga,19,62,France,Paris Saint-Germain,CDM,80,48,38,55,66,37,64,42,47,60,67,66,68,64,63,76,52,55,70,46,35,65,58,42,52,50,60,55,62,56,67,41,57,65,58,56
12816,243847,R. Griffiths,19,62,England,Olympique Lyonnais,ST,80,37,65,64,52,50,53,41,40,37,54,68,69,53,58,59,60,62,46,74,58,51,19,63,49,65,57,22,22,18,69,62,45,54,25,62
13876,247090,E. Fernández,19,62,Argentina,Defensa y Justicia,CAM,79,55,47,50,69,47,63,63,59,63,65,69,67,77,59,69,67,61,65,59,57,63,55,57,61,59,67,57,61,61,68,54,63,65,58,61
13118,244634,S. Sohm,19,62,Switzerland,FC Zürich,CB,79,57,42,60,60,40,61,52,40,59,61,71,69,69,56,64,60,68,71,80,43,62,59,45,56,50,63,62,62,61,70,46,57,62,61,74
13778,246809,Marc Aguado,19,62,Spain,Real Zaragoza,CAM,79,57,49,50,69,48,60,54,51,66,65,68,65,66,61,69,62,57,61,56,45,46,35,51,62,58,69,43,60,54,66,51,63,63,48,55
13143,244695,A. Dia Ndiaye,19,62,Senegal,FC Sochaux-Montbéliard,ST,79,29,67,58,52,43,64,42,32,33,63,73,74,57,56,61,61,67,51,60,51,27,12,58,45,65,45,16,20,12,74,61,42,62,20,52
16062,255691,L. Andrada,19,62,Argentina,Racing Club,CAM,79,56,52,53,68,49,59,54,48,61,64,68,69,67,60,62,52,58,60,56,40,58,54,63,66,55,65,55,61,58,69,50,62,62,57,58
16217,256261,M. Thiaw,18,62,Finland,FC Schalke 04,CB,79,37,43,71,60,36,40,38,44,51,49,60,63,50,57,60,50,70,65,72,35,56,58,40,42,64,49,59,64,62,62,43,49,46,62,67
15867,255115,J. Rivas,17,62,Mexico,U.N.A.M.,RB,79,58,35,46,42,32,59,32,39,28,48,65,70,52,59,82,27,63,64,36,28,55,62,43,38,39,49,64,64,62,68,32,42,56,62,48
